
Search
Showing: AllOnly ChangedNewMove IntoMove FromRename FromMove and RenamedChange ToRetire
Antiques | ID: 20081

Architectural & Garden | ID: 4707

Balusters | ID: 162925

Barn Doors & Barn Door Hardware | ID: 162926

Beams | ID: 162927

Ceiling Tins | ID: 37909

Chandeliers, Sconces & Lighting Fixtures | ID: 63516

Columns & Posts | ID: 162928

Corbels | ID: 162929

Doors | ID: 37910

Finials | ID: 63517

Fireplaces, Mantels & Fireplace Accessories | ID: 63518

Garden | ID: 4708

Hardware | ID: 37911

Door Bells & Knockers | ID: 37912

Door Knobs & Handles | ID: 37914

Door Plates & Backplates | ID: 37916

Drawer Pulls | ID: 162933

Escutcheons & Key Hole Covers | ID: 162934

Heating Grates & Vents | ID: 162935

Hinges | ID: 184487

Hooks, Brackets & Curtain Rods | ID: 37913

Locks, Latches & Keys | ID: 37915

Nails | ID: 162930

Screws | ID: 162931

Switch Plates & Outlet Covers | ID: 162932

Other Antique Hardware | ID: 66637

Pediments | ID: 162936

Plumbing & Fixtures | ID: 167948

Signs & Plaques | ID: 63519

Stained Glass Windows | ID: 151721

Stair & Carpet Rods | ID: 112084

Tiles | ID: 37917

Weathervanes & Lightning Rods | ID: 37918

Windows, Shutters & Sash Locks | ID: 63520

Reproductions | ID: 162937

Price Guides & Publications | ID: 171170

Other Architectural Antiques | ID: 1207

Asian Antiques | ID: 20082

Burma | ID: 162938

China | ID: 37919

Amulets | ID: 162939

Armor | ID: 162940

Baskets | ID: 37920

Bells | ID: 162941

Bowls | ID: 37921

Boxes | ID: 37922

Bracelets | ID: 162966

Brush Pots | ID: 162967

Brush Washers | ID: 162968

Cabinets | ID: 37923

Chairs | ID: 37924

Chests | ID: 37925

Fans | ID: 162942

Figurines & Statues | ID: 184440

Glasses & Cups | ID: 37926

Incense Burners | ID: 162943

Ink Stones | ID: 162944

Masks | ID: 162945

Necklaces & Pendants | ID: 37927

Paintings & Scrolls | ID: 38124

Plates | ID: 37928

Pots | ID: 37929

Rings | ID: 162946

Robes & Textiles | ID: 155352

Seals | ID: 162947

Snuff Bottles | ID: 37930

Swords | ID: 162963

Tables | ID: 37932

Tea Caddies | ID: 162964

Teapots | ID: 162965

Vases | ID: 37933

Other Chinese Antiques | ID: 73465

India | ID: 60209

Japan | ID: 37934

Armor | ID: 162969

Bells | ID: 162970

Bowls | ID: 37935

Boxes | ID: 37936

Dolls | ID: 162971

Fans | ID: 162972

Glasses & Cups | ID: 37937

Kimonos & Textiles | ID: 155353

Masks | ID: 162975

Netsuke | ID: 37938

Paintings & Scrolls | ID: 38125

Plates | ID: 37939

Prints | ID: 38126

Statues | ID: 162973

Swords | ID: 66841

Tea Caddies | ID: 162976

Teapots | ID: 162977

Tsuba | ID: 162978

Vases | ID: 37940

Other Japanese Antiques | ID: 73466

Korea | ID: 162979

Middle East | ID: 116556

Mongolia | ID: 162989

Southeast Asia | ID: 164808

Amulets | ID: 162980

Bells | ID: 162981

Bracelets | ID: 162982

Masks | ID: 162983

Necklaces & Pendants | ID: 162984

Paintings | ID: 162985

Statues | ID: 162986

Other Southeast Asian Antiques | ID: 20085

Tibet | ID: 79947

Unspecified, Unknown Origin | ID: 162988

Reproductions | ID: 155354

Price Guides & Publications | ID: 171171

Other Asian Antiques | ID: 2194

Ethnographic | ID: 2207

African | ID: 37945

Jewelry | ID: 163007

Masks | ID: 37946

Sculptures & Statues | ID: 37947

Other African Antiques | ID: 4171

Latin American | ID: 4170

Native American | ID: 4173

Pacific Islands & Oceania | ID: 4172

Price Guides & Publications | ID: 171173

Other Ethnographic Antiques | ID: 2204

Furniture | ID: 20091

Armoires & Wardrobes | ID: 261252

Beds & Frames | ID: 261754

Beds & Bed Frames | ID: 261253

Headboards & Footboards | ID: 261254

Bedroom Sets | ID: 261255

Benches & Stools | ID: 261256

Bookcases | ID: 261257

Cabinets & Cupboards | ID: 261258

Chairs | ID: 261259

Dining Sets | ID: 261260

Dressers & Chests of Drawers | ID: 261261

Desks & Secretaries | ID: 261262

Hall Trees & Stands | ID: 261263

Mirrors | ID: 261264

Nightstands | ID: 261265

Ottomans, Footstools & Poufs | ID: 261266

Screens & Room Dividers | ID: 261267

Sideboards & Buffets | ID: 261581

Sofas & Chaises | ID: 261584

Tables | ID: 261585

Trunks & Chests | ID: 261586

Vanities & Vanity Tables | ID: 261587

Parts & Salvaged Pieces | ID: 162913

Price Guides & Publications | ID: 171166

Other Antique Furniture | ID: 63589

Incunabula | ID: 22422

